kof97	拳王97	KOF97	KOF 97
garogun	韩语问答	Garogun Seroyang	가로군 세로양 	
garyoret	卧龙列传	Garyo Retsuden	와룡열전 	
gaunt2	圣铠 II	Gauntlet II	건틀렛 II	
gaunt22p1	圣铠 II (2 Players)	Gauntlet II (2 Players)	건틀렛 II (2인용)	
gberet	绿色兵团	Green Beret	그린베레	
gbusters	疯狂警察 I	Gang Busters I	갱 버스터즈 I	
gbustersa	疯狂警察 II	Gang Busters II	갱 버스터즈 II	
gemini	捉虫敢死队	Gemini Wing	Gemini Wing	
genix	魔鬼气泡牛仔版	Genix Family	제닉스 패밀리	
ghostb3	迷宫猎人 G (3 Players)	The Real Ghostbusters (3 Players)	리얼 고스트버스터 (3인용)	
gigasm2b	打砖块战斗台 2	Gigas Mark II	기가스 마크 II	
gijoe	特种部队	G.I. Joe	G.I. 조	
ginganin	银河任侠传 	Ginga NinkyouDen 	은하임협전 	
gmgalax	小精灵	Ghostmuncher	고스트멍커 갤럭시안 	
goldnaxej	战斧 II	Golden Axe II	골든 엑스 II	
gotcha	科乐美迷你游戏97 	Got-cha Mini Game Festival 97	빠샤빠샤 미니게임 페스티벌 97	
bishi	科乐美迷你游戏 	Bishi Bashi Championship Mini Game Senshuken	비시바시 챔피언쉽 미니게임 선수권	
ppchamp	迷你游戏  	Pasha Pasha Champ Mini Game Festival	빠샤빠샤 미니게임 페스티벌	
grdians	电神魔傀 II	Denjin Makai II	전신마괴 II	
grdnstrm	圣战 - 守护风暴	Guardian Storm	전신 - 가디언 스톰	
grobda	坦克大战 	Grobda 	그로브다 	
grobda3	坦克大战 II	Grobda II	그로브다  II	
gtmrusa	1000 英里大师赛车	Great 1000 Miles Rally	그레이트 1000마일 랠리	
gtmr2	1000 英里大师赛车 2	Mille Miglia 2: Great 1000 Miles Rally	그레이트 1000마일 랠리 2	
gulfstrm	海湾风暴	Gulf Storm	걸프 스톰	
gunbird	武装飞鸟 I	Gunbird I	건버드 I	
gunbirdk	武装飞鸟 II	Gunbird II	건버드 II	
gundhara	铳弹岚	Gundhara	총탄남	
gundl94	枪牌 94	Gun Dealer '94	건 딜러 '94	
gunfront	枪之国度 I	Gun & Frontier I	건 & 프론티어 I	
gunfrontj	枪之国度 II	Gun Frontier II	건 프론티어 II	
gunmast	枪王	Gun Master	건 마스터	
gunsmoke	荒野大镖客 	Gun.Smoke 	건 스모크
gyrodine	战斗直升机	Gyrodine	자이로다인	
hachoo	破兆	Hachoo!	파조!	
hal21	骇物 21	HAL21	HAL21	
hardhead	铁头小子	Hard Head	짱구박사	
hardhea2	铁头小子 2	Hard Head 2	짱구박사 2	
hasamu	霸沙梦	Hasamu 	패사몽 	
hellfire	地狱火 (2P 版)	Hellfire (2P set)	헬파이어 (2인용)	
heuksun	五子棋 	Heuk Sun Baek Sa 	흑선백사 	
hexion	蜂巢俄罗斯方块 	Hexion 	헥시온 	
hexpoola	魔法台球 	Hex Pool 	헥스 풀 	
racknrol	魔法台球 II	Rack + Roll	랙 + 롤	
hharry	大工之源先生	Hammerin' Harry 	망치소년	
higemaru	海盗船水手	Pirate Ship Higemaru	히게마루 해적선	
honeydol	蜜蜂玩偶	Honey Dolls	허니 돌	
